author,total_comments,n_channels,avg_comments_per_channel,category_entropy,num_unique_categories,cat_Gaming,cat_Entertainment,cat_Music,cat_People & Blogs,cat_Howto & Style,cat_Comedy,cat_Film and Animation,cat_Education,cat_Science & Technology,cat_Sports,mean_log_subs,std_log_subs,mean_join_year,std_join_year,mean_delta_videos,mean_activity,mean_delta_subs,mean_delta_views
10001342,5030.0,1022.0,4.921722113502935,1.688677041681947,15.0,0.43547424935374823,0.1379996023066216,0.021475442433883475,0.016106581825412608,0.002585006959634122,0.21097633724398487,0.04553589182740107,0.07556174189699741,0.016703121893020482,0.0005965400676078744,13.490180608731338,1.5851214524277952,2011.9536779324058,3.4484916108980603,2.926892414941851,6.47324223354911,7825.5897984890635,2610294.314973192
10001343,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.840998238948812,0.0,2011.0,0.0,0.3270440251572327,0.710691823899371,819.2873989218328,154153.23568527255
10001344,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.570719231334277,0.0,2018.0,0.0,1.8644067796610169,4.033898305084746,4923.869249394674,185795.28795101435
10001345,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.552847548877052,0.0,2006.0,0.0,0.0,0.0,0.0,0.0
10001346,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.488455541410652,0.0,2015.0,0.0,2.6666666666666665,5.753086419753086,12292.278218694884,3243627.070546737
10001348,4.0,3.0,1.3333333333333333,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.803163202623931,1.556498279838502,2011.5,2.6076809620810595,6.149245244003309,13.584925558312655,52258.7908748006,9880277.072282603
10001349,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.430631084706523,0.0,2010.0,0.0,6.638709677419355,14.806451612903226,338534.8846774194,65290011.11815476
10001350,2.0,2.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.78576221024506,0.008324520492067253,2017.0,0.0,41.466821499668214,90.10879783233798,2673.9099938465506,1077902.8088531834
10001352,43.0,18.0,2.388888888888889,1.3619992766165476,6.0,0.23255813953488372,0.5116279069767442,0.023255813953488372,0.06976744186046512,0.09302325581395349,0.0,0.06976744186046512,0.0,0.0,0.0,14.673629533259895,1.4316655859800624,2014.2790697674418,2.761501536545298,3.3234192960078346,7.426299629652543,31452.112819773494,6880938.469180125
10001354,10.0,4.0,2.5,0.6108643020548935,2.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,13.456138914147054,0.6543395290074606,2014.9000000000003,2.367312118556965,1.0912202380952383,2.393612213403881,5138.992594070918,1366128.7274677644
