author,total_comments
10027892,307
10011804,307
10069251,307
1001650,307
1013308,307
10068096,307
10115248,307
10093315,307
10021347,307
10054967,306
1001853,306
10074053,306
10005437,306
10044196,306
10119176,306
10035551,306
10034703,306
10116812,306
10060692,306
10004065,306
10121949,305
10096662,305
10134821,305
10023175,305
10036960,304
10070540,303
10017823,303
10028159,303
10063528,302
10042084,302
10036895,302
10057803,302
10145505,302
10135494,302
10038347,302
10048228,301
10001522,301
10074551,301
10030230,300
10089356,300
10035928,300
10029207,300
10128769,299
10109372,299
10139017,299
10118716,299
10145178,298
10047521,298
10078697,298
10104667,298
10051244,298
10105703,297
10043147,297
1005487,297
10095466,297
10061899,297
10131218,296
10145952,296
1007299,296
10118269,296
10056858,296
10029590,296
10001291,295
10004955,295
1010339,295
10143785,295
10060486,295
10045375,295
10005936,295
10055565,294
10039896,294
10060218,294
10044474,294
10072378,294
10087477,293
10061340,293
10098491,293
1003608,293
10062666,293
10087309,292
10034443,292
10101402,291
10083359,291
10080603,291
10015219,290
10066014,290
10075942,290
10107300,290
10021815,289
10094099,289
10042865,289
10020857,289
10027857,289
10042575,289
10142015,289
10075482,289
10087922,289
10056898,288
10032558,288
10123846,288
10082406,288
10046055,288
10051793,288
10094189,288
10070134,288
1006834,288
10112096,288
10032642,287
10132092,287
10147101,287
10137360,286
10014730,286
10048943,285
10089388,285
10140817,285
10009097,285
10144758,284
10058644,284
1001966,284
10142483,284
10130131,284
10117600,283
10041199,283
10098402,283
10029326,283
1008889,283
10075810,283
10079734,283
10058721,283
10065697,282
10025135,282
10002879,282
10005127,281
10125123,281
10109657,281
10095310,281
10085582,280
10011207,280
10057248,280
10056289,280
10011405,280
10103577,280
10017780,280
10053947,280
10067799,280
1003976,280
10134131,280
10133423,280
10094493,280
10048553,280
10079428,280
10122515,279
10082814,279
10082905,279
10050916,279
10129553,279
10067325,278
10086301,278
10055133,278
10032439,278
10028347,278
10065090,278
10119063,277
10076395,277
10128359,277
10135324,277
10060030,277
10098482,277
10103635,277
10135557,276
1009738,276
1009540,276
10119670,276
10051465,276
10079968,275
10048623,275
10020303,275
10041774,275
10073755,275
10035762,275
10010593,275
10146753,274
1013617,274
10054210,274
10122921,274
10097094,274
10008966,274
10003122,273
10015030,273
10103044,273
10126747,273
10041046,273
10057835,273
10002517,272
10134267,272
10011120,272
10050644,272
10001660,272
10052032,272
10075169,272
10070395,271
10009970,271
10134184,271
10080728,271
1005243,271
10017624,271
10070124,270
10085113,270
10033095,270
10005818,270
10057587,270
10048002,270
10139732,270
10008073,269
10068543,269
